name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-82 b,Kepler-82,b,2012,26.44,4.07,162923,101242,12.2,0.1779,289,552,0,19.56,Kepler,Transit
Kepler-82 c,Kepler-82,c,2012,51.54,5.34,213761,132833,13.9,0.0897,177,351,0,8.04,Kepler,Transit
Kepler-82 d,Kepler-82,d,2014,2.38,1.77,70853,44029,3.8,0.6806,980,1796,0,484.35,Kepler,Transit
Kepler-82 e,Kepler-82,e,2014,5.9,2.47,98875,61442,6.7,0.441,653,1207,0,144.34,Kepler,Transit
Kepler-82 f,Kepler-82,f,2019,75.73,4.84,193746,120396,20.9,0.1833,,,0,,KOINet,Transit Timing Variations
Kepler-820 b,Kepler-820,b,2016,127.83,6.09,243784,151490,30.8,0.1359,281,538,0,16.23,Kepler,Transit
Kepler-821 b,Kepler-821,b,2016,1.92,1.31,52440,32586,2.3,1.0073,942,1728,0,496.82,Kepler,Transit
Kepler-822 b,Kepler-822,b,2016,3.22,1.77,70853,44029,3.8,0.6806,966,1771,0,535.19,Kepler,Transit
Kepler-823 b,Kepler-823,b,2016,4.17,1.57,62847,39054,3.1,0.7967,1004,1839,0,803.35,Kepler,Transit
Kepler-824 b,Kepler-824,b,2016,4.51,1.87,74856,46516,4.2,0.6352,958,1756,0,454.6,Kepler,Transit
Kepler-825 b,Kepler-825,b,2016,3.77,1.53,61246,38059,3,0.824,997,1827,0,734.46,Kepler,Transit
Kepler-825 c,Kepler-825,c,2016,8.18,1.84,73656,45770,4,0.6461,708,1306,0,261.63,Kepler,Transit
Kepler-826 b,Kepler-826,b,2016,4.49,1.25,50038,31094,2.1,1.0726,1032,1890,0,827.22,Kepler,Transit
Kepler-827 b,Kepler-827,b,2016,51.93,5.63,225370,140047,27,0.1508,301,574,0,23.6,Kepler,Transit
Kepler-828 b,Kepler-828,b,2016,0.57,1.51,60446,37561,2.9,0.8367,1575,2867,0,1835.16,Kepler,Transit
Kepler-829 b,Kepler-829,b,2016,6.88,2.11,84464,52487,5.1,0.5408,584,1083,0,247.47,Kepler,Transit
Kepler-83 b,Kepler-83,b,2012,9.77,2.83,113285,70397,42.1,1.8512,187,369,0,15.41,Kepler,Transit
Kepler-83 c,Kepler-83,c,2012,20.09,2.36,94471,58705,11.4,0.8657,89,192,0,5.9,Kepler,Transit
Kepler-83 d,Kepler-83,d,2014,5.17,1.94,77659,48258,24.6,3.3575,296,565,0,28.81,Kepler,Transit
Kepler-830 b,Kepler-830,b,2016,11.3,1.7,68051,42288,3.5,0.7169,634,1173,0,160.18,Kepler,Transit
Kepler-831 b,Kepler-831,b,2016,5.62,1.27,50838,31591,2.2,1.0472,719,1326,0,266.25,Kepler,Transit
Kepler-832 b,Kepler-832,b,2016,7.14,2.06,82462,51243,4.9,0.559,692,1278,0,256.83,Kepler,Transit
Kepler-833 b,Kepler-833,b,2016,18.75,2.02,80861,50248,4.7,0.5735,109,228,0,8.31,Kepler,Transit
Kepler-834 b,Kepler-834,b,2016,13.32,2.02,80861,50248,4.7,0.5735,105,221,0,11.85,Kepler,Transit
Kepler-835 b,Kepler-835,b,2016,11.42,2.79,111684,69402,8.2,0.3757,648,1198,0,170.33,Kepler,Transit
Kepler-836 b,Kepler-836,b,2016,11.36,2.73,109282,67909,7.9,0.3866,596,1105,0,135.8,Kepler,Transit
Kepler-837 b,Kepler-837,b,2016,16.56,2.56,102477,63680,7.1,0.4211,428,802,0,55.97,Kepler,Transit
Kepler-838 b,Kepler-838,b,2016,15.75,2.73,109282,67909,7.9,0.3866,504,939,0,61.09,Kepler,Transit
Kepler-839 b,Kepler-839,b,2016,37.81,2.57,102878,63929,7.1,0.4192,353,667,0,46.3,Kepler,Transit
Kepler-84 b,Kepler-84,b,2012,8.73,2.23,89267,55472,40,3.5935,712,1314,0,222.19,Kepler,Transit
Kepler-84 c,Kepler-84,c,2012,12.88,2.36,94471,58705,20.2,1.5318,592,1098,0,132.23,Kepler,Transit
Kepler-84 d,Kepler-84,d,2014,4.22,1.38,55242,34328,2.5,0.9419,981,1798,0,584.24,Kepler,Transit
Kepler-84 e,Kepler-84,e,2014,27.43,2.6,104078,64675,7.3,0.412,399,750,0,48.29,Kepler,Transit
Kepler-84 f,Kepler-84,f,2014,44.55,2.2,88066,54725,5.5,0.5136,299,570,0,25.3,Kepler,Transit
Kepler-840 b,Kepler-840,b,2016,2.5,17.07,683315,424618,43000,8.6207,1135,2075,0,2258.8,Kepler,Transit
Kepler-841 b,Kepler-841,b,2016,124.42,5.23,209358,130097,23.8,0.1659,143,289,0,1.65,Kepler,Transit
Kepler-842 b,Kepler-842,b,2016,1.22,1.6,64048,39800,3.2,0.7768,979,1794,0,588.95,Kepler,Transit
Kepler-843 b,Kepler-843,b,2016,2.05,2.59,103678,64427,7.2,0.4138,1250,2282,0,890.33,Kepler,Transit
Kepler-844 b,Kepler-844,b,2016,2.61,1.68,67251,41790,3.5,0.7278,440,824,0,89.65,Kepler,Transit
Kepler-845 b,Kepler-845,b,2016,0.93,2.04,81662,50745,4.8,0.5662,1088,1990,0,772.5,Kepler,Transit
Kepler-846 b,Kepler-846,b,2016,19.81,2.48,99275,61690,6.7,0.4392,351,664,0,35.28,Kepler,Transit
Kepler-847 b,Kepler-847,b,2016,2.34,1.18,47236,29353,1.8,1.069,781,1438,0,292.31,Kepler,Transit
Kepler-848 b,Kepler-848,b,2016,6.91,1.7,68051,42288,3.5,0.7169,813,1495,0,794.78,Kepler,Transit
Kepler-849 b,Kepler-849,b,2016,394.62,7.14,285815,177608,40.4,0.1107,52,126,0,3.12,Kepler,Transit
Kepler-85 b,Kepler-85,b,2012,8.31,1.97,78859,49004,4.5,0.5917,536,997,0,107.03,Kepler,Transit
Kepler-85 c,Kepler-85,c,2012,12.51,2.18,87266,54228,20.9,2.0145,433,811,0,61.93,Kepler,Transit
Kepler-85 d,Kepler-85,d,2014,17.91,1.2,48036,29850,1.9,1.0799,353,667,0,38.39,Kepler,Transit
Kepler-85 e,Kepler-85,e,2014,25.22,1.27,50838,31591,0.6,0.2904,286,547,0,24.32,Kepler,Transit
Kepler-850 b,Kepler-850,b,2016,7.19,1.78,71254,44278,3.8,0.6751,722,1332,0,329.28,Kepler,Transit
Kepler-851 b,Kepler-851,b,2016,8.51,1.68,67251,41790,3.5,0.7278,627,1161,0,103.83,Kepler,Transit
Kepler-852 b,Kepler-852,b,2016,44.93,2.54,101677,63183,7,0.4247,292,558,0,92.13,Kepler,Transit
Kepler-853 b,Kepler-853,b,2016,7.17,1.69,67651,42039,3.5,0.7223,914,1677,0,499.3,Kepler,Transit
Kepler-854 b,Kepler-854,b,2016,2.14,16.72,669305,415912,42000,8.9655,1463,2665,0,7282.96,Kepler,Transit
Kepler-855 b,Kepler-855,b,2016,7.89,8.35,334252,207707,52.7,0.0902,723,1333,0,405.18,Kepler,Transit
Kepler-856 b,Kepler-856,b,2016,8.03,9.3,372281,231339,63.3,0.0784,551,1024,0,153.5,Kepler,Transit
Kepler-857 b,Kepler-857,b,2016,85.35,6.8,272205,169151,37.2,0.118,117,243,0,5.75,Kepler,Transit
Kepler-858 b,Kepler-858,b,2016,76.14,4.87,194947,121142,21.1,0.1815,126,259,0,6.34,Kepler,Transit
Kepler-859 b,Kepler-859,b,2016,20.38,3.09,123693,76864,9.8,0.3303,255,491,0,14.9,Kepler,Transit
